,CODMUNRES,SEXO,RACACOR,ANO,POP_MERGE,obito_count,pop_under74,UF,mun_nome,mort_ind
2141,_170460,_1,_3,2022,2022_170460_1_3,1,0.0,TO,Chapada de Areia ,inf
2377,_171500,_1,_3,2022,2022_171500_1_3,2,0.0,TO,Nova Rosalândia ,inf
2874,_210220,_1,_3,2022,2022_210220_1_3,1,0.0,MA,Buriti ,inf
3133,_210462,_1,_3,2022,2022_210462_1_3,1,0.0,MA,Governador Luiz Rocha ,inf
3148,_210470,_1,_3,2022,2022_210470_1_3,1,0.0,MA,Graça Aranha ,inf
3394,_210720,_1,_3,2022,2022_210720_1_3,1,0.0,MA,Nina Rodrigues ,inf
3418,_210745,_2,_3,2022,2022_210745_2_3,1,0.0,MA,Olinda Nova do Maranhão ,inf
4836,_220880,_1,_3,2022,2022_220880_1_3,1,0.0,PI,Regeneração ,inf
4840,_220880,_2,_3,2022,2022_220880_2_3,1,0.0,PI,Regeneração ,inf
5431,_230426,_1,_5,2022,2022_230426_1_5,1,0.0,CE,Deputado Irapuan Pinheiro ,inf
5763,_230820,_1,_3,2022,2022_230820_1_3,1,0.0,CE,Meruoca ,inf
6583,_240680,_2,_5,2022,2022_240680_2_5,1,0.0,RN,Lajes Pintadas ,inf
6852,_241142,_1,_5,2022,2022_241142_1_5,1,0.0,RN,Santana do Seridó ,inf
9386,_261630,_1,_3,2022,2022_261630_1_3,1,0.0,PE,Vicência ,inf
11591,_291345,_1,_3,2022,2022_291345_1_3,1,0.0,BA,Igrapiúna ,inf
11934,_291780,_1,_3,2022,2022_291780_1_3,1,0.0,BA,Jaguaripe ,inf
12208,_292105,_2,_3,2022,2022_292105_2_3,1,0.0,BA,Matina ,inf
13316,_310010,_1,_5,2022,2022_310010_1_5,1,0.0,MG,Abadia dos Dourados ,inf
14277,_311547,_1,_3,2022,2022_311547_1_3,1,0.0,MG,Catuti ,inf
14546,_312000,_2,_5,2022,2022_312000_2_5,1,0.0,MG,Córrego Novo ,inf
14905,_312590,_1,_3,2022,2022_312590_1_3,3,0.0,MG,Ferros ,inf
16570,_315020,_1,_3,2022,2022_315020_1_3,1,0.0,MG,Piedade de Ponte Nova ,inf
16934,_315600,_1,_3,2022,2022_315600_1_3,2,0.0,MG,Rio Vermelho ,inf
17941,_317110,_2,_5,2022,2022_317110_2_5,1,0.0,MG,Veríssimo ,inf
25269,_420005,_1,_3,2022,2022_420005_1_3,1,0.0,SC,Abdon Batista ,inf
25431,_420253,_1,_3,2022,2022_420253_1_3,1,0.0,SC,Bom Jesus ,inf
25623,_420520,_1,_3,2022,2022_420520_1_3,1,0.0,SC,Erval Velho ,inf
25786,_420790,_1,_3,2022,2022_420790_1_3,1,0.0,SC,Irineópolis ,inf
25928,_421020,_1,_3,2022,2022_421020_1_3,1,0.0,SC,Major Gercino ,inf
26592,_430140,_1,_3,2022,2022_430140_1_3,1,0.0,RS,Arvorezinha ,inf
26904,_430515,_1,_3,2022,2022_430515_1_3,1,0.0,RS,Cerro Grande ,inf
27004,_430620,_1,_3,2022,2022_430620_1_3,1,0.0,RS,Cruzeiro do Sul ,inf
27261,_430950,_1,_3,2022,2022_430950_1_3,1,0.0,RS,Guarani das Missões ,inf
27393,_431120,_1,_3,2022,2022_431120_1_3,1,0.0,RS,Júlio de Castilhos ,inf
27795,_431514,_1,_3,2022,2022_431514_1_3,1,0.0,RS,Presidente Lucena ,inf
27858,_431590,_1,_3,2022,2022_431590_1_3,1,0.0,RS,Rodeio Bonito ,inf
28408,_432290,_1,_5,2022,2022_432290_1_5,1,0.0,RS,Viadutos ,inf
